K_DECTOP,LIB_CODE,LIB_NAME,LIB_ADDR,LIB_CITY,LIB_ZIP,LIB_ZIP4,LIB_PHONE,LIB_CNTY,C_OUT_TYP,C_MSA,C_SER_POP,LIB_NUM_BM,WEB_ADR,K_SEQ,STABR,PUB_FIPS,CNTYFIPS,YR
AK0001,AK0001-002,ANCHOR POINT PUBLIC LIBRARY,BOX 129,ANCHOR POINT,99556,0129,9072355692,KENAI PENINSULA,CE,NO,B,0,,002,AK,02,122,98
AK0002,AK0002-007,CHUGIAK/EAGLE RIVER LIBRARY,12400 OLD GLENN HIGHWAY,EAGLE RIVER,99577,7726,9076945284,ANCHORAGE,BR,CC,F,0,www.ci.anchorage.ak.us/Services/Departments,007,AK,02,020,98
AK0002,AK0002-008,MULDOON BRANCH LIBRARY,5530 E. NORTHERN LIGHTS BLVD.,ANCHORAGE,99504,3500,9073384590,ANCHORAGE,BR,CC,G,0,www.ci.anchorage.ak.us/Services/Departments,008,AK,02,020,98
AK0002,AK0002-009,SAMSON-DIMOND BRANCH LIBRARY,600 E. DIMOND,ANCHORAGE,99503,2042,9073494689,ANCHORAGE,BR,CC,F,0,www.ci.anchorage.ak.us/Services/Departments,009,AK,02,020,98
AK0002,AK0002-010,SCOTT AND WESLEY GERRISH LIBRARY,P. O. BOX 169,GIRDWOOD,99587,0169,9077832565,ANCHORAGE,BR,CC,B,0,www.ci.anchorage.ak.us/Services/Departments,010,AK,02,020,98
AK0002,AK0002-011,Z. J. LOUSSAC LIBRARY,3600 DENALI,ANCHORAGE,99503,6093,9072612975,ANCHORAGE,CE,CC,H,0,www.ci.anchorage.ak.us/Services/Departments,011,AK,02,020,98
AK0002,AK0002-012,MOUNTAIN VIEW BRANCH LIBRARY,150 BRAGAW STREET,ANCHORAGE,99504,3145,9072728413,ANCHORAGE,BR,CC,G,0,www.ci.anchorage.ak.us/Services/Departments,012,AK,02,020,98
AK0003,AK0003-002,ANDERSON VILLAGE LIBRARY,BOX 3078,ANDERSON,99744,3078,9075822628,DENALI,CE,NO,A,0,,002,AK,02,068,98
AK0006,AK0006-002,KUSKOKWIM CONSORTIUM LIBRARY,P.O. BOX 1068,BETHEL,99559,1068,9075434517,BETHEL,CE,NO,D,0,,002,AK,02,050,98
AK0007,AK0007-002,BIG LAKE LIBRARY,P.O. BOX 520829,BIG LAKE,99577,0829,9078926475,MATANUSKA-SUSITNA,CE,NO,C,0,www.customcpu.com/commercial/biglakecoc/library/li,002,AK,02,170,98
AK0008,AK0008-002,CANTWELL SCHOOL/COMM. LIBRARY,P. O. BOX 68,CANTWELL,99729,0068,9077682372,DENALI,CE,NO,A,0,,002,AK,02,068,98
AK0011,AK0011-002,CHINIAK PUBLIC LIBRARY,P. O. BOX 5610,CHINIAK,99615,5610,9074863022,KODIAK ISLAND,CE,NO,B,0,,002,AK,02,150,98
AK0013,AK0013-002,RUTH RIGGS PUBLIC LIBRARY,HC 60 BOX 3770,CLEARWATER,99737,9418,9078954399,SE FAIRBANK,CE,NO,B,0,,002,AK,02,240,98
AK0014,AK0014-002,COLD BAY PUBLIC LIBRARY,P.O. BOX 87,COLD BAY,99571,0087,9075322401,ALEUTIANS EAST,CE,NO,A,0,,002,AK,02,013,98
AK0015,AK0015-002,COOPER LANDING COMM. LIBRARY,P. O. BOX 517,COOPER LANDING,99572,0517,9075951241,KENAI PENINSULA,CE,NO,A,0,,002,AK,02,122,98
AK0016,AK0016-002,CORDOVA PUBLIC LIBRARY,P. O. BOX 1210,CORDOVA,99574,1210,9074246667,VALDEZ-CORDOVA,CE,NO,C,0,,002,AK,02,261,98
AK0017,AK0017-003,Craig Public Library,P. O. BOX 725,Craig,99921,0026,9078263281,PR WALES-OUTER KE,CE,NO,B,0,,003,AK,02,201,98
AK0018,AK0018-002,IPNATCHIAQ LIBRARY,P. O. BOX 36049,DEERING,99736,2136,9073632136,NORTHWEST ARCTIC,CE,NO,A,0,,002,AK,02,188,98
AK0019,AK0019-002,DELTA COMMUNITY LIBRARY,P. O. BOX 229,DELTA JUNCTION,99737,0229,9078954102,SE FAIRBANK,CE,NO,A,0,,002,AK,02,240,98
AK0020,AK0020-002,DILLINGHAM PUBLIC LIBRARY,P. O. BOX 870,DILLINGHAM,99576,0870,9078425610,DILLINGHAM,CE,NO,B,0,,002,AK,02,070,98
AK0021,AK0021-002,EAGLE PUBLIC LIBRARY,P. O. BOX 45,EAGLE CITY,99738,0045,9075472230,SE FAIRBANK,CE,NO,A,0,,002,AK,02,240,98
AK0022,AK0022-002,ELIM COMMUNITY LIBRARY,P. O. BOX 39050,ELIM,99739,0050,9078903501,NOME,CE,NO,A,0,,002,AK,02,180,98
AK0023,AK0023-002,FAIRBANKS NORTH STAR BOROUGH,1215 COWLES STREET,FAIRBANKS,99701,4394,9074591020,FAIRBANKS NORTH,CE,NO,G,0,www.fairnet.org/Library/fnsblibr.html,002,AK,02,090,98
AK0023,AK0023-003,NORTH POLE BRANCH LIBRARY,601 SNOWMAN,NORTH POLE,99705,7716,9074886101,FAIRBANKS NORTH,BR,NO,B,0,www.fairnet.org/Library/fnsblibr.html,003,AK,02,090,98
AK0025,AK0025-002,CHARLES EVANS COMMUNITY LIBRARY,P. O. BOX 149,GALENA,99741,0149,9076561205,YUKON-KOYUKUK,CE,NO,A,0,,002,AK,02,290,98
AK0027,AK0027-002,COPPER VALLEY COMMUNITY LIBRARY,P. O. BOX 173,GLENNALLEN,99588,0173,9078225226,VALDEZ-CORDOVA,CE,NO,A,0,,002,AK,02,261,98
AK0027,AK0027-003,COPPER VALLEY COMMUNITY LIBRARY,P. O. BOX 173,GLENNALLEN,99588,0173,9078225226,VALDEZ-CORDOVA,BS,NO,A,1,,003,AK,02,261,98
AK0028,AK0028-002,GUSTAVUS PUBLIC LIBRARY,P. O. BOX 279,GUSTAVUS,99826,0279,9076972350,SKAGWAY-ANGOON,CE,NO,A,0,,002,AK,02,232,98
AK0029,AK0029-002,HAINES BOROUGH PUBLIC LIBRARY,P. O. BOX 1089,HAINES,99827,1089,9077662545,HAINES,CE,NO,B,0,www.seaknet.alaska.edu/~hnslib,002,AK,02,100,98
AK0030,AK0030-002,TRI-VALLEY COMMUNITY LIBRARY,P. O. BOX 400,HEALY,99743,0400,9076832507,DENALI,CE,NO,A,0,,002,AK,02,068,98
AK0031,AK0031-002,HOLLIS PUBLIC LIBRARY,P. O. BOX 5,HOLLIS,99950,0070,9075307112,PR WALES-OUTER KE,CE,NO,A,0,,002,AK,02,201,98
AK0032,AK0032-002,HOMER PUBLIC LIBRARY,141 W. PIONEER AVENUE,HOMER,99603,7523,9072353180,KENAI PENINSULA,CE,NO,D,0,www.xyz.net/~hpl,002,AK,02,122,98
AK0033,AK0033-002,HOPE COMMUNITY LIBRARY,P. O. BOX 127,HOPE,99605,0127,9077823121,KENAI PENINSULA,CE,NO,A,0,,002,AK,02,122,98
AK0035,AK0035-002,DOUGLAS PUBLIC LIBRARY,292 MARINE WAY,JUNEAU,99801,1361,9073642378,JUNEAU,BR,NO,E,0,www.juneau.lib.ak.us/library/jpl.htm,002,AK,02,110,98
AK0035,AK0035-003,MENDENHALL VALLEY PUBLIC LIBRARY,292 MARINE WAY,JUNEAU,99801,1361,9077890125,JUNEAU,BR,NO,E,0,www.juneau.lib.ak.us/library/jpl.htm,003,AK,02,110,98
AK0035,AK0035-004,JUNEAU PUBLIC LIBRARIES,292 MARINE WAY,JUNEAU,99801,1361,9075865324,JUNEAU,CE,NO,F,0,www.juneau.lib.ak.us/library/jpl.htm,004,AK,02,110,98
AK0036,AK0036-002,KAKE COMMUNITY LIBRARY,P. O. BOX 450,KAKE,99830,0450,9077853724,WRANGELL-PETERSBU,CE,NO,A,0,,002,AK,02,280,98
AK0037,AK0037-002,KASILOF PUBLIC LIBRARY,P. O. BOX 176,KASILOF,99610,0176,9072624844,KENAI PENINSULA,CE,NO,B,0,,002,AK,02,122,98
AK0038,AK0038-002,KENAI COMMUNITY LIBRARY,163 MAIN STREET LOOP,KENAI,99611,7793,9072834378,KENAI PENINSULA,CE,NO,E,0,,002,AK,02,122,98
AK0039,AK0039-002,KETCHIKAN PUBLIC LIBRARY,629 DOCK STREET,KETCHIKAN,99901,6589,9072253331,KETCHIKAN GATEWAY,CE,NO,D,0,www.firstcitylib.org/kpl/,002,AK,02,130,98
AK0040,AK0040-002,A. HOLMES JOHNSON MEM LIB,319 LOWER MILL BAY RD,KODIAK,99615,7341,9074868686,KODIAK ISLAND,CE,NO,E,0,,002,AK,02,150,98
AK0041,AK0041-002,CHUKCHI LIBRARY,P. O. BOX 297,KOTZEBUE,99752,0297,9074422410,NORTHWEST ARCTIC,CE,NO,C,0,zorba.uafadm.alaska.edu/cclib/index.html,002,AK,02,188,98
AK0041,AK0041-003,SELAWIK COMM/SCH LIBRARY,P. O. BOX 29,SELAWIK,99770,0029,9074842142,NORTHWEST ARCTIC,BR,NO,A,0,,003,AK,02,188,98
AK0044,AK0044-002,McGRATH COMMUNITY LIBRARY,P. O. BOX 249,McGRATH,99627,0249,9075243843,YUKON-KOYUKUK,CE,NO,A,0,,002,AK,02,290,98
AK0046,AK0046-002,METLAKATLA CENTENNIAL LIB,P. O. BOX 7,METLAKATLA,99926,0007,9078866000,PR WALES-OUTER KE,CE,NO,A,0,,002,AK,02,201,98
AK0047,AK0047-002,KING SALMON BRANCH LIBRARY,P.O. BOX 556,KING SALMON,99613,0556,9072463337,BRISTOL BAY,BR,NO,A,0,,002,AK,02,060,98
AK0047,AK0047-003,SOUTH NAKNEK BRANCH LIBRARY,GENERAL DELIVERY,SOUTH NAKNEK,99670,9999,9072466513,BRISTOL BAY,BR,NO,A,0,,003,AK,02,060,98
AK0047,AK0047-004,MARTIN MONSEN LIBRARY,P. O. BOX 147,NAKNEK,99633,0147,9072464465,BRISTOL BAY,CE,NO,B,0,,004,AK,02,060,98
AK0048,AK0048-002,NENANA PUBLIC LIBRARY,P. O. BOX 40,NENANA,99760,0040,9078325812,YUKON-KOYUKUK,CE,NO,A,0,,002,AK,02,290,98
AK0051,AK0051-002,NINILCHIK COMMUNITY LIBRARY,P. O. BOX 39165,NINILCHIK,99639,0165,9075673333,KENAI PENINSULA,CE,NO,A,0,,002,AK,02,122,98
AK0052,AK0052-002,KEGOAYAH KOZGA LIBRARY,P. O. BOX 1168,NOME,99762,1168,9074435133,NOME,CE,NO,C,0,,002,AK,02,180,98
AK0053,AK0053-002,NORTHWAY COMMUNITY LIBRARY,P. O. BOX 469,NORTHWAY,99764,0519,9077782288,SE FAIRBANK,CE,NO,A,0,,002,AK,02,240,98
