LIBID,LIBNAME,ADDRESS,CITY,ZIP1,ZIP2,PHONE,POPU,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIAN,OTHPAID,TOTPEMP,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,BENEFIT,TOTEXP,TOTEXPCOL,OTHOPEXP,TOTOPEXP1,CAPITAL,BKVOL,AUDIO,VIDEO,SUBSCRIPT,DUPLI,ATTEND,REFERENCE,TOTCIR,LOANTO,LOANFM,KIDCIRCL,KIDATTEND,C_RELATN,C_LEGBASE,C_ADMIN,CNTY,POPU_UNDUP,FSCSKEY,STABR,PUB_FIPS,YR,OBEREG,RSTATUS,IMP0,IMP1,IMP2,IMP3,IMP4,IMP5,IMP6,IMP7,IMP8,IMP9,IMP10,IMP11,IMP12,IMP13,IMP14,IMP15,IMP16,IMP17,IMP18,IMP19,IMP20,IMP21,IMP22,IMP23,FILLER,IMP25,IMP26,IMP27,IMP28,IMP29,IMP30,IMP31,IMP32
40,Anchor Point Public Library,P. O. Box 129,Anchor Point,99556,0129,9072355692,1362,1,0,0,0,0.25,0,0.25,0,6808,0,2639,9447,,,,2220,,10139,0,10255,10,425,5,530,2500,250,7337,0,0,2764,10,NO,NP,SO,-1,1362,AK0001,AK,02,94,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
50,Anchorage Municipal Libraries,3600 Denali,Anchorage,99503,6093,9072612975,264383,1,4,0,32,32,69.93,101.93,7053233,85473,100612,343251,7582569,3158012,1304920,4462932,753879,2365758,7582569,0,481196,51688,2961,1144,9709,554636,214132,1283182,3043,4444,485055,32014,NO,CI,MO,-1,264383,AK0002,AK,02,94,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
60,Anderson Village Library,P. O. Box 3078,Anderson,99744,3078,9075822628,650,1,0,0,0,0.25,0.25,0.5,3500,8615,0,1500,13615,,,,4310,,13615,0,10684,440,530,12,520,2568,1567,2068,0,24,1076,200,NO,NP,SO,-1,650,AK0003,AK,02,94,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
70,Aniak Public Library,P. O. Box 270,Aniak,99557,0270,9076754435,551,1,0,0,0,0.12,0.13,0.25,0,5000,4002,0,9002,,,,1124,,5001,0,2428,94,232,15,450,1000,22,964,0,13,756,0,NO,CI,SO,-1,551,AK0004,AK,02,94,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 1, 0, 0, 0, 8, 0, 0
90,Kuskokwim Consortium Library,Pouch 1068,Bethel,99559,1068,9075434516,5023,1,0,0,1,1,2,3,65300,19241,0,168938,253479,134474,41811,176285,34427,32138,242850,0,34948,2141,281,131,3146,26120,3155,20611,167,275,5972,500,NO,AP,SO,-1,5023,AK0006,AK,02,94,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 5, 0, 0, 0,10, 0, 0
100,Big Lake Library,P. O. Box 520829,Big Lake,99652,0829,9078926475,4635,1,0,0,0,1,0.2,1.2,85582,8615,0,0,94197,,,,13281,,94197,0,8894,182,324,30,1892,14805,832,26210,33,96,20699,1770,NO,MJ,SO,-1,4635,AK0007,AK,02,94,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
110,Cantwell Sch/Comm Library,P. O. Box 68,Cantwell,99729,0068,9077682372,147,1,0,0,0,0.25,0,0.25,112,5542,0,750,6404,,,,2312,,6404,0,8230,101,78,28,510,1874,563,17044,0,10,11251,60,NO,SP,SO,-1,147,AK0008,AK,02,94,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
150,Chiniak Public Library,P. O. Box 5610,Chiniak,99615,5610,9074863022,241,1,0,0,0,0,0,0,3000,7169,0,0,10169,,,,2464,,10269,0,6835,50,259,22,520,3400,280,4490,0,0,2740,40,NO,NP,SO,-1,241,AK0011,AK,02,94,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
170,Ruth Riggs Public Library,HC 60 Box 3770,Clearwater,99737,9418,9078954408,1500,1,0,0,0,0,0,0,0,5000,0,551,5551,,,,2915,,5008,0,10715,290,817,6,900,4500,100,14710,0,8,1408,0,NO,NP,SO,-1,1500,AK0013,AK,02,94,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
180,Cold Bay Public Library,P. O. Box 87,Cold Bay,99571,0087,9075322536,137,1,0,0,0,0,0,0,2000,6446,0,0,8446,,,,6118,,8560,0,8105,278,949,3,945,2682,500,7055,0,6,1458,400,NO,CI,SO,-1,137,AK0014,AK,02,94,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
190,Cooper Landing Comm. Library,P. O. Box 517,Cooper Landing,99572,9998,9075951241,558,1,0,0,0,0,0,0,0,6446,0,3767,10213,,,,6872,,9038,0,3706,583,256,10,1040,2420,20,4663,0,21,1506,0,NO,NP,SO,-1,558,AK0015,AK,02,94,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
200,Cordova Public Library,P. O. Box 1170,Cordova,99574,1170,9074246667,2928,1,0,0,0,1,3,4,119887,8615,0,3350,131852,63688,34288,97976,12489,9421,119886,0,21541,1177,201,77,2080,22942,488,28101,0,182,12648,2540,NO,CI,SO,-1,2928,AK0016,AK,02,94,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 2, 0, 0, 0, 0, 0, 0
210,Craig Public Library,P. O. Box 26,Craig,99921,0026,9078263281,1455,1,0,0,0,1,1,2,32216,8615,0,2515,43346,,,,10531,,42887,0,9853,352,100,34,1768,3300,125,10179,0,125,3612,400,NO,CI,SO,-1,1455,AK0017,AK,02,94,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
220,Ipnatchiaq Library,P. O. Box 36049,Deering,99736,0049,9073632136,161,1,0,0,0,0.4,0,0.4,5477,7892,0,0,13369,,,,2137,,13367,0,5146,153,26,16,832,6292,17,467,0,4,153,260,NO,CI,SO,-1,161,AK0018,AK,02,94,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
