LIBID,LIBNAME,ADDRESS,CITY,ZIP1,ZIP2,PHONE,POPU,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIAN,OTHPAID,TOTPEMP,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,BENEFIT,TOTEXP,TOTEXPCOL,OTHOPEXP,TOTOPEXP1,CAPITAL,BKVOL,AUDIO,VIDEO,SUBSCRIPT,DUPLI,ATTEND,REFERENCE,TOTCIR,LOANTO,LOANFM,KIDCIRCL,KIDATTEND,C_RELATN,C_LEGBASE,C_ADMIN,CNTY,C_FSCS,ELMATEXP,ELACCEXP,ELMATS,ELSVCACC,INETACC,INETUSE,POPU_UNDUP,FSCSKEY,STABR,PUB_FIPS,YR,OBEREG,RSTATUS,IMP1,IMP2,IMP3,IMP4,IMP5,IMP6,IMP7,IMP8,IMP9,IMP10,IMP11,IMP12,IMP13,IMP14,IMP15,IMP16,IMP17,IMP18,IMP19,IMP20,IMP21,IMP22,IMP23,FILLER,IMP25,IMP26,IMP27,IMP28,IMP29,IMP30,IMP31
40,Anchor Point Public Library,P. O. Box 129,Anchor Point,99556,0129,9077235692,1679,1,0,0,0,0.25,0,0.25,0,7673,0,2633,10306,,,,1635,,8806,0,10500,20,300,2,510,2550,300,7294,27,196,1789,395,NO,NP,SO,-1,Y,-1,-1,0,N,N,,1679,AK0001,AK,02,96,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 5, 5, 0, 0
50,Anchorage Municipal Libraries,3600 Denali,Anchorage,99503,6093,9072612975,257780,1,5,0,36.84,36.84,74.78,111.62,7649837,71860,58080,372314,8152091,3552665,1409330,4961995,797965,2392131,8152091,0,431353,20089,3477,1733,9429,924154,252980,1262797,6553,4491,475672,22449,NO,CI,MO,-1,Y,70172,179311,55,Y,Y,PE,257780,AK0002,AK,02,96,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
60,Anderson Village Library,P. O. Box 3078,Anderson,99744,3078,9075822700,626,1,0,0,0,0.25,0.25,0.5,3500,7862,0,2500,13862,,,,4917,,13862,0,11846,419,731,13,520,2820,1024,2880,4,110,1309,321,NO,NP,SO,-1,Y,-1,-1,117,Y,N,,626,AK0003,AK,02,96,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
70,Aniak Public Library,P. O. Box 270,Aniak,99557,0270,9076754435,581,1,0,0,0,0.25,0,0.25,0,5000,0,0,5000,,,,881,,4967,0,2968,94,293,20,480,663,0,1007,1,4,335,0,NO,CI,SO,-1,Y,-1,-1,0,N,N,,581,AK0004,AK,02,96,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
90,Kuskokwim Consortium Library,Pouch 1068,Bethel,99559,1068,9075434516,5195,1,0,0,1,1,2,3,50000,195726,3479,7500,256705,144448,51618,196066,20169,40838,257073,0,33505,2275,675,88,3146,55000,3151,22689,167,340,6327,650,NO,AP,SO,-1,Y,-1,-1,0,Y,Y,ST,5195,AK0006,AK,02,96,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 5, 0, 0, 0,10, 0
100,Big Lake Library,P. O. Box 520829,Big Lake,99652,0829,9078926475,4966,1,0,0,0,1,0.2,1.2,98828,7862,0,0,106690,,,,13697,,106690,0,9948,236,389,39,2208,12580,932,20757,21,83,12627,1760,NO,CO,SO,-1,Y,-1,-1,0,Y,Y,ST,4966,AK0007,AK,02,96,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
110,Cantwell Sch/Comm Library,P. O. Box 68,Cantwell,99729,0068,9077682372,145,1,0,0,0,0.25,0,0.25,0,5429,3774,750,9953,,,,2404,,6179,0,8663,103,96,35,480,1750,250,7284,0,8,1262,108,NO,SP,SO,-1,Y,-1,-1,0,Y,N,,145,AK0008,AK,02,96,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
150,Chiniak Public Library,P. O. Box 5610,Chiniak,99615,5610,9074863022,83,1,0,0,0,0,0,0,3000,6717,0,60,9777,,,,3912,,9717,0,7555,50,290,23,600,3800,250,5200,0,3,3220,1525,NO,NP,SO,-1,N,-1,-1,35,N,N,,83,AK0011,AK,02,96,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
170,Ruth Riggs Public Library,HC 60 Box 3770,Clearwater,99737,9418,9078954408,1500,1,0,0,0,0,0,0,0,5000,0,824,5824,,,,2614,,5008,0,10761,120,1076,7,700,4300,100,15486,0,12,1621,0,NO,NP,SO,-1,N,-1,-1,0,N,N,,1500,AK0013,AK,02,96,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
180,Cold Bay Public Library,P. O. Box 87,Cold Bay,99571,0087,9075322401,220,1,0,0,0,0,0,0,2000,6145,0,0,8145,,,,5376,,8148,0,8497,387,1214,4,726,3182,150,7333,0,5,2764,45,NO,CI,SO,-1,N,-1,-1,0,N,N,,220,AK0014,AK,02,96,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
