LIBID,LIBNAME,ADDRESS,CITY,ZIP1,ZIP2,PHONE,POPU,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIAN,OTHPAID,TOTPEMP,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,BENEFIT,TOTEXP,TOTEXPCOL,OTHOPEXP,TOTOPEXP1,CAPITAL,BKVOL,AUDIO,VIDEO,SUBSCRIPT,DUPLI,ATTEND,REFERENCE,TOTCIR,LOANTO,LOANFM,KIDCIRCL,KIDATTEND,C_RELATN,C_LEGBASE,C_ADMIN,CNTY,C_FSCS,ELMATEXP,ELACCEXP,ELMATS,ELSVCACC,INETACC,INETUSE,POPU_UNDUP,FSCSKEY,STABR,PUB_FIPS,YR,OBEREG,RSTATUS,IMP0,IMP1,IMP2,IMP3,IMP4,IMP5,IMP6,IMP7,IMP8,IMP9,IMP10,IMP11,IMP12,IMP13,IMP14,IMP15,IMP16,IMP17,IMP18,IMP19,IMP20,IMP21,IMP22,IMP23,IMP24,IMP25,IMP26,IMP27,IMP28,IMP29,IMP30,IMP31,IMP32
40,Anchor Point Public Library,P. O. Box 129,Anchor Point,99556,0129,9072355692,1692,1,0,0,0,0.25,0,0.25,0,5945,0,3924,9869,,,,1579,,8636,0,10800,30,350,2,510,2700,350,8320,0,0,1838,115,NO,NP,SO,-1,Y,0,0,0,N,N,,1692,AK0001,AK,02,97,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
50,Anchorage Municipal Libraries,3600 Denali,Anchorage,99503,6093,9073432975,254269,1,5,0,39.19,39.19,74.21,113.4,8106627,68517,50814,410453,8636411,3700520,1421909,5122429,904495,2609487,8636411,0,434838,19856,4154,1739,10114,924154,216684,1304773,5509,3923,487535,19322,NO,CI,MO,-1,Y,72675,216054,84,Y,Y,PE,254269,AK0002,AK,02,97,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
60,Anderson Village Library,P. O. Box 3078,Anderson,99744,3078,9075822628,563,1,0,0,0,0.25,0.25,0.5,3500,6980,0,3230,13710,,,,4146,,13621,0,12230,426,848,15,520,3795,1162,3472,3,35,1854,291,NO,NP,SO,-1,Y,-1,-1,146,Y,Y,PE,563,AK0003,AK,02,97,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
90,Kuskokwim Consortium Library,Pouch 1068,Bethel,99559,1068,9075434517,5106,1,0,0,1,1,2.5,3.5,65000,113488,0,8023,186511,94384,30712,125096,24099,13389,162584,0,34002,2335,843,88,3146,46073,3425,25738,289,222,6493,40,NO,AP,SO,-1,Y,3287,2037,-1,Y,Y,PI,5106,AK0006,AK,02,97,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0,10, 0, 0
100,Big Lake Library,P. O. Box 520829,Big Lake,99652,0829,9078926475,4534,1,0,0,0,1,0.5,1.5,93391,6890,0,0,100281,,,,13202,,100281,0,9770,265,453,43,2294,11571,978,18101,30,123,12094,1000,NO,CO,SO,-1,Y,-1,-1,0,Y,Y,ST,4534,AK0007,AK,02,97,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
110,Cantwell Sch/Comm Library,P. O. Box 68,Cantwell,99729,0068,9077682372,135,1,0,0,0,0.25,0,0.25,0,5284,3774,750,9808,,,,2284,,6034,0,8839,103,115,35,480,785,115,5157,2,7,976,79,NO,SP,SO,-1,Y,0,0,0,N,N,,135,AK0008,AK,02,97,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
150,Chiniak Public Library,P. O. Box 5610,Chiniak,99615,5610,9074863022,75,1,0,0,0,0,0,0,3000,6134,0,506,9640,,,,4375,,8780,0,7855,50,315,23,650,3200,200,5055,0,0,2905,758,NO,NP,SO,-1,N,357,214,45,Y,N,,75,AK0011,AK,02,97,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
170,Ruth Riggs Public Library,HC 60 Box 3770,Clearwater,99737,9418,9078954408,1500,1,0,0,0,0,0,0,0,5000,0,1261,6261,,,,1551,,5002,0,10897,120,1037,7,700,4000,100,14701,0,8,1567,7,NO,NP,SO,-1,N,0,0,0,N,N,,1500,AK0013,AK,02,97,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
180,Cold Bay Public Library,P. O. Box 87,Cold Bay,99571,0087,,146,1,0,0,0,0,0,0,2000,5756,0,0,7756,,,,5908,,7788,0,8565,423,1400,5,718,3311,50,7850,0,0,529,43,NO,CI,SO,-1,N,0,0,0,N,N,,146,AK0014,AK,02,97,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
190,Cooper Landing Comm. Library,P. O. Box 517,Cooper Landing,99572,9998,9075951241,492,1,0,0,0,0,0,0,0,5756,0,1317,7073,,,,5955,,8552,1500,4466,539,250,11,1040,2198,100,3204,0,0,846,0,NO,NP,SO,-1,N,0,0,0,N,N,,492,AK0015,AK,02,97,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0
