LIBID,LIBNAME,ADDRESS,CITY,ZIP1,ZIP2,PHONE,POPU,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIAN,OTHPAID,TOTPEMP,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,BENEFIT,TOTEXP,TOTEXPCOL,OTHOPEXP,TOTOPEXP1,CAPITAL,BKVOL,AUDIO,VIDEO,SUBSCRIPT,DUPLI,ATTEND,REFERENCE,TOTCIR,LOANTO,LOANFM,KIDCIRCL,KIDATTEND,C_RELATN,C_LEGBASE,C_ADMIN,CNTY,C_FSCS,ELMATEXP,ELACCEXP,ELMATS,ELSVCACC,INETACC,INETUSE,POPU_UNDUP,FSCSKEY,STABR,PUB_FIPS,CNTYFIPS,YR,OBEREG,RSTATUS,IMP0,IMP1,IMP2,IMP3,IMP4,IMP5,IMP6,IMP7,IMP8,IMP9,IMP10,IMP11,IMP12,IMP13,IMP14,IMP15,IMP16,IMP17,IMP18,IMP19,IMP20,IMP21,IMP22,IMP23,IMP24,IMP25,IMP26,IMP27,IMP28,IMP29,IMP30,IMP31,IMP32,IMP33,IMP34,IMP35,IMP36,IMP37
AK0001,ANCHOR POINT PUBLIC LIBRARY,P. O. BOX 129,ANCHOR POINT,99556,0129,9072356992,1671,1,0,0,0,0.25,0,0.25,0,6520,0,3980,10500,,,,1491,,10500,0,10500,42,200,12,520,2850,235,7332,0,0,1591,185,NO,NP,SO,KENAI PENINSULA,Y,0,0,0,N,N,,1671,AK0001,AK,02,122,98,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AK0002,ANCHORAGE MUNICIPAL LIBRARIES,3600 DENALI,ANCHORAGE,99503,6093,9073432975,254849,1,5,0,38.71,38.71,69.61,108.32,8327526,67793,50467,418569,8864355,3831849,1352523,5184372,912066,2767917,8864355,0,488554,21863,5473,1742,10114,924154,232076,1207120,5608,4011,449079,16731,NO,CO,MO,ANCHORAGE,Y,29394,340382,77,Y,Y,PE,254849,AK0002,AK,02,020,98,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AK0003,ANDERSON VILLAGE LIBRARY,P. O. BOX 3078,ANDERSON,99744,3078,9075822628,565,1,0,0,0,0.25,0.25,0.5,5000,7000,0,0,12000,,,,3528,,12200,0,12325,435,893,15,510,3602,924,3963,2,29,2353,491,NO,NP,SO,DENALI,Y,115,568,167,Y,Y,PE,565,AK0003,AK,02,068,98,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 0
AK0006,KUSKOKWIM CONSORTIUM LIBRARY,P. O. BOX 1068,BETHEL,99559,1068,9075434517,5227,1,0,0,1,1,1.5,2.5,65000,12886,0,114679,192565,99725,50719,150444,31021,11318,192783,0,34377,2378,976,88,3146,55776,4941,25614,212,282,6359,486,NO,AP,SO,BETHEL,Y,3794,1000,0,Y,Y,PE,5227,AK0006,AK,02,050,98,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0,10, 0, 0, 0, 0, 4, 0, 0
AK0007,BIG LAKE LIBRARY,P. O. BOX 520829,BIG LAKE,99652,0829,9078926475,4188,1,0,0,0,1,0.5,1.5,96120,7000,0,0,103120,,,,14048,,103120,0,11087,323,453,43,1884,12649,998,14697,32,45,7287,947,NO,CO,SO,MATANUSKA-SUSITNA,Y,0,6501,0,N,Y,ST,4188,AK0007,AK,02,170,98,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0
AK0008,CANTWELL SCH/COMM LIBRARY,P. O. BOX 68,CANTWELL,99729,0068,9077682372,144,1,0,0,0,0.33,0,0.33,750,5300,4557,0,10607,,,,1748,,6051,0,8928,114,138,9,480,825,124,5446,5,25,1550,82,NO,SP,SO,DENALI,Y,0,0,0,N,N,,144,AK0008,AK,02,068,98,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AK0011,CHINIAK PUBLIC LIBRARY,P. O. BOX 5610,CHINIAK,99615,5610,9074863022,74,1,0,0,0,0,0,0,3000,6200,0,474,9674,,,,5827,,9199,0,8155,50,340,22,624,600,50,4795,0,0,2650,270,NO,NP,SO,KODIAK ISLAND,N,0,0,45,Y,N,,74,AK0011,AK,02,150,98,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AK0013,RUTH RIGGS PUBLIC LIBRARY,HC 60 BOX 3770,CLEARWATER,99737,9418,9078954399,1500,1,0,0,0,0,0,0,0,5000,0,1135,6135,,,,1606,,5009,0,10630,120,1063,7,700,4000,100,14836,0,16,1600,7,NO,NP,SO,SE FAIRBANK,N,200,1072,5,Y,Y,PI,1500,AK0013,AK,02,240,98,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0
AK0014,COLD BAY PUBLIC LIBRARY,P. O. BOX 87,COLD BAY,99571,0087,,120,1,0,0,0,0,0,0,2000,5800,0,0,7800,,,,5837,,7801,0,8670,451,1659,4,707,2989,50,7430,0,0,680,31,NO,CI,SO,ALEUTIANS EAST,N,0,0,0,N,N,,120,AK0014,AK,02,013,98,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AK0015,COOPER LANDING COMM. LIBRARY,P. O. BOX 517,COOPER LANDING,99572,9998,9075951241,467,1,0,0,0,0,0,0,0,5800,0,6905,12705,,,,5699,,9909,933,4167,495,276,8,1040,2084,100,2795,0,0,723,157,NO,NP,SO,KENAI PENINSULA,N,0,0,0,N,N,,467,AK0015,AK,02,122,98,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,10, 0, 0, 0, 0, 0, 0
AK0016,CORDOVA PUBLIC LIBRARY,P. O. BOX 1210,CORDOVA,99574,1210,9074246667,2467,1,0,0,0,1,1.13,2.13,93138,7000,0,0,100138,45717,34078,79795,9942,10764,100501,0,19573,819,827,46,1820,18046,369,27453,0,1008,14994,4894,NO,CI,SO,VALDEZ-CORDOVA,Y,0,0,14,N,N,,2467,AK0016,AK,02,261,98,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AK0017,CRAIG PUBLIC LIBRARY,P. O. BOX 725,CRAIG,99921,0026,9078263281,2043,1,0,0,0,1,0,1,39014,7000,0,0,46014,,,,9582,,46048,0,10959,428,352,44,1820,8524,521,14143,0,180,4308,770,NO,CI,SO,PR WALES-OUTER KE,Y,0,2055,23,Y,Y,ST,2043,AK0017,AK,02,201,98,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5,21, 0, 0
AK0018,IPNATCHIAQ LIBRARY,P. O. BOX 36049,DEERING,99736,0049,9073632136,158,1,0,0,0,0.28,0,0.28,1188,0,4557,0,5745,,,,120,,7396,0,6827,254,85,15,600,1520,7,221,0,5,76,235,NO,CI,SO,NORTHWEST ARCTIC,Y,0,0,0,N,N,,158,AK0018,AK,02,188,98,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AK0019,DELTA COMMUNITY LIBRARY,P. O. BOX 229,DELTA JUNCTION,99737,0229,9078954102,855,1,0,0,0,0.25,0,0.25,7649,7000,0,0,14649,,,,2025,,18448,0,6000,45,155,4,576,3814,1000,9716,0,25,2792,385,NO,CI,SO,SE FAIRBANK,Y,174,860,10,Y,Y,ST,855,AK0019,AK,02,240,98,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,10, 0, 0, 5, 5,21, 0, 0
AK0020,DILLINGHAM PUBLIC LIBRARY,P. O. BOX 870,DILLINGHAM,99576,0870,9078425610,2252,1,0,0,0,0.5,0,0.5,29669,7000,0,1050,37719,,,,11597,,36669,0,11885,387,778,105,1384,6668,8,4905,0,95,1381,135,NO,CI,SO,DILLINGHAM,Y,0,240,0,N,Y,PE,2252,AK0020,AK,02,070,98,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AK0021,EAGLE PUBLIC LIBRARY,P. O. BOX 45,EAGLE CITY,99738,0045,9075472330,165,1,0,0,0,0,0,0,1000,5600,0,603,7203,,,,3418,,7336,0,12300,81,1092,36,750,3000,300,9065,0,331,2605,165,NO,NP,SO,SE FAIRBANK,N,0,0,0,N,N,,165,AK0021,AK,02,240,98,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,10, 0, 0, 0, 0, 0, 0, 0
AK0022,ELIM COMMUNITY LIBRARY,P. O. BOX 39050,ELIM,99739,0050,9078903501,301,1,0,0,0,0.38,0,0.38,6333,7000,4557,0,17890,,,,3455,,16366,0,6150,81,41,13,480,645,25,920,0,0,601,438,NO,CI,SO,NOME,Y,200,700,12,Y,Y,ST,301,AK0022,AK,02,180,98,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AK0023,FAIRBANKS NORTH STAR BOROUG,1215 COWLES STREET,FAIRBANKS,99701,4394,9074591020,114782,1,1,0,8.5,10.25,35.38,45.63,2616434,52749,144070,79773,2893026,1588676,621686,2210362,317479,272385,2800226,0,234433,8734,4858,554,4985,255006,76424,593266,2347,3030,192624,15674,NO,MJ,MO,FAIRBANKS NORTH,Y,48850,70706,94,Y,Y,PE,114782,AK0023,AK,02,090,98,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,10, 0, 0, 0, 0, 0, 0, 0
AK0025,CHARLES EVANS COMMUNITY LIBRARY,P. O. BOX 149,GALENA,99741,0149,9076561205,543,1,0,0,0,0.25,0,0.25,10748,5120,5134,3399,24401,,,,6409,,24400,0,13130,60,100,37,490,1152,50,3879,0,144,563,98,NO,CI,SO,YUKON-KOYUKUK,N,200,546,7,Y,Y,PE,543,AK0025,AK,02,290,98,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0
AK0027,COPPER VALLEY COMMUNITY LIBRARY,P. O. BOX 173,GLENNALLEN,99588,0173,9078225226,513,1,0,1,0,0.62,0,0.62,0,14091,0,15779,29870,,,,6429,,32637,0,5631,255,814,40,1667,7000,300,16382,0,263,7341,967,NO,NP,MO,VALDEZ-CORDOVA,Y,0,516,6,Y,Y,PE,513,AK0027,AK,02,261,98,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5,21, 0, 0
AK0028,GUSTAVUS PUBLIC LIBRARY,P. O. BOX 279,GUSTAVUS,99826,0279,9076972350,346,1,0,0,0,0.25,0,0.25,3700,7000,0,3682,14382,,,,3460,,14382,0,5670,85,130,42,800,3460,62,6386,3,227,4239,650,NO,NP,SO,SKAGWAY-ANGOON,Y,600,120,12,Y,Y,PE,346,AK0028,AK,02,232,98,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0
AK0029,HAINES BOROUGH PUBLIC LIBRARY,P. O. BOX 1089,HAINES,99827,1089,9077662545,2421,1,0,0,0,1.5,1.25,2.75,166510,8440,0,15935,190885,95313,36657,131970,20931,34566,187467,0,17663,798,1103,101,2678,52000,9500,61358,149,1647,24437,1216,NO,CO,SO,HAINES,Y,1400,240,7,Y,Y,PE,2421,AK0029,AK,02,100,98,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AK0030,TRI-VALLEY COMMUNITY LIBRARY,P. O. BOX 400,HEALY,99743,0400,9076832507,603,1,0,0,0,0.5,0.1,0.6,6465,7000,0,10116,23581,,,,4780,,16818,0,17968,583,555,44,710,3160,85,18389,13,197,11341,867,NO,SP,SO,DENALI,Y,1716,360,27,Y,Y,PE,603,AK0030,AK,02,068,98,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0
AK0031,HOLLIS PUBLIC LIBRARY,P. O. BOX 5,HOLLIS,99950,0070,9075307112,175,1,0,0,0,0,0,0,2500,6400,0,1000,9900,,,,5360,,9900,0,16135,525,180,1,1200,5700,2700,12750,0,0,6200,1862,NO,NP,SO,PR WALES-OUTER KE,N,0,0,0,N,N,,175,AK0031,AK,02,201,98,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AK0032,HOMER PUBLIC LIBRARY,141 W. PIONEER AVENUE,HOMER,99603,7523,9072353180,11129,1,0,0,1,1,3.3,4.3,229171,7000,0,0,236171,145809,40376,186185,14464,35522,236171,0,31121,252,724,101,2704,90652,10520,99987,221,217,24825,1260,NO,CI,SO,KENAI PENINSULA,Y,1750,17275,0,Y,Y,PE,11129,AK0032,AK,02,122,98,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0,10, 0, 0, 0, 5, 3, 0, 0
AK0033,HOPE COMMUNITY LIBRARY,P. O. BOX 127,HOPE,99605,0127,9077823121,235,1,0,0,0,0.25,0,0.25,0,16400,0,2588,18988,,,,1140,,8504,0,4683,14,13,7,520,1205,15,1178,0,4,295,129,NO,NP,SO,KENAI PENINSULA,Y,0,0,0,N,N,,235,AK0033,AK,02,122,98,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AK0035,JUNEAU PUBLIC LIBRARIES,292 MARINE WAY,JUNEAU,99801,1361,9075865324,35415,1,2,0,4.69,4.69,15.31,20,1304138,61000,94786,0,1459924,659140,316294,975434,166894,317596,1459924,0,115369,2599,3224,343,7090,403542,23682,274951,5962,7549,116156,8410,NO,CO,MO,JUNEAU,Y,65000,86311,31,Y,Y,PE,35415,AK0035,AK,02,110,98,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AK0036,KAKE COMMUNITY LIBRARY,P. O. BOX 450,KAKE,99830,0450,9077853724,712,1,0,0,0,0.5,0,0.5,5800,7000,0,0,12800,,,,6300,,12800,0,9657,180,56,25,900,3195,3,3275,51,97,1870,81,NO,SP,SO,WRANGELL-PETERSBU,Y,0,716,8,N,N,,712,AK0036,AK,02,280,98,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5, 5, 8, 8, 0, 3, 5,21, 0, 0
AK0037,KASILOF PUBLIC LIBRARY,P. O. BOX 176,KASILOF,99610,0176,9072624844,1519,1,0,0,0,0.7,0,0.7,0,5000,0,0,5000,,,,1213,,5000,0,5074,220,167,4,480,6460,89,13986,0,0,4020,36,NO,SP,SO,KENAI PENINSULA,Y,309,102,17,Y,Y,PE,1519,AK0037,AK,02,122,98,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 7,30, 0, 0, 0,10, 0, 0, 5,18,21, 0, 0
AK0038,KENAI COMMUNITY LIBRARY,163 MAIN STREET LOOP,KENAI,99611,7793,9072834378,14028,1,0,0,0,1,4.25,5.25,370914,15386,0,18258,404558,186391,51948,238339,51093,111131,400563,3895,63651,627,1316,344,3276,87912,13500,100767,420,390,33779,4860,NO,CI,SO,KENAI PENINSULA,Y,10070,4233,21,Y,Y,PE,14028,AK0038,AK,02,122,98,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AK0039,KETCHIKAN PUBLIC LIBRARY,629 DOCK STREET,KETCHIKAN,99901,6589,9072253331,14599,1,0,0,3,4,7.95,11.95,795741,31061,0,27602,854404,387458,171190,558648,98568,163127,820343,34061,49013,1872,3035,189,2972,213836,12869,180820,578,1355,55042,5775,NO,MJ,SO,KETCHIKAN GATEWAY,Y,4100,60000,181,Y,Y,PE,14599,AK0039,AK,02,130,98,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AK0040,A. HOLMES JOHNSON MEM LIBRARY,319 LOWER MILL BAY RD,KODIAK,99615,7341,9074868686,13321,1,0,0,1,1,6.11,7.11,567650,7000,0,0,574650,277095,95945,373040,62000,139610,574650,15000,59691,4914,1297,275,3300,152441,4000,86667,441,357,28206,1542,NO,CI,SO,KODIAK ISLAND,Y,2000,4500,30,Y,Y,PE,13321,AK0040,AK,02,150,98,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AK0041,CHUKCHI LIBRARY,P. O. BOX 297,KOTZEBUE,99752,0297,9074422410,3928,1,1,0,0,1,1.25,2.25,53473,14000,4557,37150,109180,60649,15045,75694,23956,14412,114062,2656,15255,485,1198,121,2800,15100,5567,12492,40,893,3962,1710,NO,MJ,MO,NORTHWEST ARCTIC,Y,1495,6097,8,Y,Y,PE,3928,AK0041,AK,02,188,98,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0
AK0044,MCGRATH COMMUNITY LIBRARY,P. O. BOX 249,MCGRATH,99627,0121,9075243843,456,1,0,0,0,0.2,0.6,0.8,5000,7000,4798,9217,26015,,,,5550,,17441,0,11789,91,60,23,1196,4540,26,2821,0,78,1805,1567,NO,SP,SO,YUKON-KOYUKUK,Y,1812,459,60,Y,Y,PE,456,AK0044,AK,02,290,98,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0
AK0046,METLAKATLA CENTENNIAL LIBRARY,P. O. BOX 7,METLAKATLA,99926,0007,9078866000,1595,1,0,0,0,0.38,0,0.38,11994,7000,4557,0,23551,,,,3966,,23551,0,6000,2,4,13,735,946,100,943,0,75,288,710,NO,SP,SO,PR WALES-OUTER KE,Y,0,160,0,Y,Y,PE,1595,AK0046,AK,02,201,98,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 0, 3, 0, 0, 0, 0
AK0047,MARTIN MONSEN LIBRARY,P. O. BOX 147,NAKNEK,99633,0147,9072464465,1267,1,2,0,0,1,1,2,137826,21000,0,0,158826,,,,13200,,158826,5435,13877,46,839,22,4056,7309,27,7831,0,143,4776,531,NO,CO,MO,BRISTOL BAY,Y,3849,500,0,Y,Y,PI,1267,AK0047,AK,02,060,98,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0
AK0048,NENANA PUBLIC LIBRARY,P. O. BOX 40,NENANA,99760,0040,9078325812,440,1,0,0,0,0.7,0.13,0.83,20810,7000,1810,3000,32620,,,,6000,,32617,0,8922,110,965,16,1456,3250,197,4525,29,42,1301,188,NO,CI,SO,YUKON-KOYUKUK,Y,0,443,5,Y,Y,ST,440,AK0048,AK,02,290,98,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,10, 0, 0, 3, 5,21, 0, 0
AK0051,NINILCHIK COMMUNITY LIBRARY,P. O. BOX 39165,NINILCHIK,99639,0165,9075673333,2205,1,0,0,0,0.7,0,0.7,0,6400,0,8823,15223,,,,3616,,14645,0,10513,201,774,0,1508,5000,200,22127,0,18,4306,166,NO,NP,SO,KENAI PENINSULA,Y,0,0,0,N,N,,2205,AK0051,AK,02,122,98,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AK0052,KEGOAYAH KOZGA LIBRARY,P. O. BOX 1168,NOME,99762,1168,9074435133,3656,1,0,0,0,0.94,1.44,2.38,193357,18451,0,0,211808,104931,29255,134186,33781,43625,211592,0,17379,713,401,84,1966,12137,1531,14916,25,216,5665,636,NO,CI,SO,NOME,Y,941,5675,59,Y,Y,PE,3656,AK0052,AK,02,180,98,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 0
