STABR,FSCSKEY,LIBID,LIBNAME,ADDRESS,CITY,CNTY,ZIP,ZIP4,PHONE,C_RELATN,C_LEGBAS,C_ADMIN,C_FSCS,GEOCODE,POPU_LSA,POPU_UND,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIA,OTHPAID,TOTSTAFF,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,BENEFIT,STAFFEXP,TOTEXPCO,OTHOPEXP,TOTOPEXP,CAPITAL,BKVOL,AUDIO,VIDEO,SUBSCRIP,HRS_OPEN,VISITS,REFERENC,TOTCIR,LOANTO,LOANFM,KIDCIRCL,KIDATTEN,ELMATEXP,ELACCEXP,ELMATS,ELSVCACC,INETACC,INETUSE,STFTERMS,GPTERMS,PUB_FIPS,CNTYFIPS,YR_SUB,OBEREG,RSTATUS,IMP0,IMP1,IMP2,IMP3,IMP4,IMP5,IMP6,IMP7,IMP8,IMP9,IMP10,IMP11,IMP12,IMP13,IMP14,IMP15,IMP16,IMP17,IMP18,IMP19,IMP20,IMP21,IMP22,IMP23,IMP24,IMP25,IMP26,IMP27,IMP28,IMP29,IMP30,IMP31,IMP32,IMP33,IMP34,IMP35,IMP36,IMP37,IMP38,IMP39,IMP40
AK,AK0001,AK0001,ANCHOR POINT PUBLIC LIBRARY,P. O. BOX 129,ANCHOR POINT,KENAI PENINSULA,99556,0129,9077235692,NO,NP,SO,Y,OTH,1629,1613,1,0,0,0,0.25,0,0.25,0,6730,0,4576,11306,,,,2000,,11306,0,10300,36,235,3,520,2600,250,6395,401,462,2685,169,200,200,3,N,Y,PE,-1,-1,02,122,1999,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 8, 0, 0, 0, 0, 0, 0, 0,20,20
AK,AK0002,AK0002,ANCHORAGE MUNICIPAL LIBRARIES,3600 DENALI,ANCHORAGE,ANCHORAGE,99503,6093,9073432975,NO,CO,MO,Y,CO1,258782,256203,1,5,0,39.9,39.9,69.73,109.63,8531043,166740,63077,531708,9292568,3732040,1346410,5078450,1065592,3148526,9292568,0,529482,23084,9713,1745,10316,876106,214708,1294283,5608,4011,480644,33884,71343,365245,125,Y,Y,PE,-1,-1,02,020,1999,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,20,20
AK,AK0003,AK0003,ANDERSON VILLAGE LIBRARY,P. O. BOX 3078,ANDERSON,DENALI,99744,3078,9075822628,NO,CI,SO,Y,CI1,524,519,1,0,0,0,0.25,0,0.25,5000,7000,0,1500,13500,,,,2067,,13500,0,13033,439,981,7,520,3562,1014,3852,5,32,2138,338,100,546,132,N,Y,PE,-1,-1,02,068,1999,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0,20,20
AK,AK0006,AK0006,KUSKOKWIM CONSORTIUM LIBRARY,POUCH 1068,BETHEL,BETHEL,99559,1068,9075434517,NO,MJ,SO,Y,CI1,5227,5175,1,0,0,1,2,0.25,2.25,65000,7000,0,87030,159030,86790,26260,113050,11884,5089,130023,0,34994,2428,1061,90,3146,50850,3794,20583,179,262,5368,1457,1769,1348,12,Y,Y,PE,-1,-1,02,050,1999,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 0, 0, 0,10, 0, 0, 0, 0, 0, 0, 0, 0,20,20
AK,AK0007,AK0007,BIG LAKE LIBRARY,P. O. BOX 520829,BIG LAKE,MATANUSKA-SUSITNA,99652,0829,9078926475,NO,CO,SO,Y,OTH,4390,4346,1,0,0,0,1,0.5,1.5,102720,7000,0,0,109720,,,,15650,,109720,0,12087,428,475,43,1996,14064,1004,15646,70,39,7829,1264,450,1414,0,N,Y,PE,-1,-1,02,170,1999,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,20,20
AK,AK0008,AK0008,CANTWELL SCH/COMM LIBRARY,P. O. BOX 68,CANTWELL,DENALI,99729,0068,9077682372,NO,NP,SO,Y,OTH,166,164,1,0,0,0,0.33,0,0.33,1706,5682,4217,0,11605,,,,4502,,11609,0,8989,121,157,16,720,1680,125,4393,15,30,1525,60,0,0,0,N,Y,PE,-1,-1,02,068,1999,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,18, 0, 0, 0, 0,20,20
AK,AK0011,AK0011,CHINIAK PUBLIC LIBRARY,P. O. BOX 5610,CHINIAK,KODIAK ISLAND,99615,5610,9074863022,NO,NP,SO,N,OTH,75,74,1,0,0,0,0,0,0,3000,6200,0,1632,10832,,,,4025,,9176,0,8088,50,528,20,936,550,100,5100,0,21,2819,324,25,170,22,N,Y,PE,-1,-1,02,150,1999,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 0, 0, 0, 0, 0, 0, 0, 0,20,20
AK,AK0013,AK0013,RUTH RIGGS PUBLIC LIBRARY,HC 60 BOX 3770,CLEARWATER,SE FAIRBANK,99737,9418,9078954399,NO,NP,SO,N,OTH,1500,1485,1,0,0,0,0,0,0,0,5000,0,526,5526,,,,1655,,5006,0,10712,112,1078,13,650,3000,75,12475,0,12,1345,0,245,360,5,N,Y,PI,-1,-1,02,240,1999,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0,20,20
AK,AK0014,AK0014,COLD BAY PUBLIC LIBRARY,P. O. BOX 87,COLD BAY,ALEUTIANS EAST,99571,0087,9075322878,NO,CI,SO,N,CI1,103,102,1,0,0,0,0,0,0,2000,5800,0,0,7800,,,,4528,,7801,0,8723,469,1826,4,682,2778,50,5696,0,29,672,81,178,0,3,N,N,NA,0,0,02,013,1999,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AK,AK0015,AK0015,COOPER LANDING COMM. LIBRARY,P. O. BOX 517,COOPER LANDING,KENAI PENINSULA,99572,M,9075951241,NO,NP,SO,N,OTH,473,468,1,0,0,0,0,0,0,0,5800,0,4600,10400,,,,5800,,9611,0,4483,521,310,12,1040,2284,104,2753,0,75,525,10,0,0,0,N,N,NA,0,0,02,122,1999,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
