POPU,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIAN,OTHPAID,TOTPEMP,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,BENEFIT,TOTEXP,TOTEXPCOL,OTHOPEXP,TOTOPEXP1,CAPITAL,BKVOL,AUDIO,VIDEO,SUBSCRIPT,DUPLI,ATTEND,REFERENCE,TOTCIR,LOANTO,LOANFM,KIDCIRCL,KIDATTEND,PERIOD_POP,PERIOD_EST,PERIOD_PSM,PERIOD_PEM,STABR,PUB_FIPS,YR,OBEREG,IMP0,IMP1,IMP2,IMP3,IMP4,IMP5,IMP6,IMP7,IMP8,IMP9,IMP10,IMP11,IMP12,IMP13,IMP14,IMP15,IMP16,IMP17,IMP18,IMP19,IMP20,IMP21,IMP22,IMP23,FILLER,IMP25,IMP26,IMP27,IMP28,IMP29,IMP30,IMP31,IMP32
599200,85,12,2,60.51,97.18,175.91,273.09,15767345,1169648,211409,769577,17917979,8264852,3070715,11335567,2086411,4250622,17672600,625548,1883145,95964,32506,6117,143675,2456097,434052,3723218,20563,33004,1367775,105990,599200,599200,07/92,06/93,AK,02,94,08, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,, 1, 1, 1, 1, 1, 1, 1, 0
3908375,208,72,19,184.82,543.54,733.44,1276.98,34476471,4362424,689944,2735291,42264130,21079296,4661575,25740871,7383360,8501787,41626018,3263595,7633303,116767,81138,15197,540149,10394752,2031590,14931310,77954,103893,4306427,395671,3908375,4040587,10/92,09/93,AL,01,94,05, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,, 1, 1, 1, 1, 1, 1, 1, 0
2264206,38,156,10,66,66,519.27,585.27,14400735,2822343,399931,2225165,19848174,9200948,1836592,11037540,3097483,3631997,17767020,1895736,4661494,47880,23121,8967,330298,5263586,917836,9274014,18061,26865,2852818,269250,2264206,2350725,01/93,12/93,AR,05,94,05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 1, 1, 0, 0, 0, 0, 1, 0
3809952,87,71,13,330.4,417.7,936.8,1354.5,61814628,315369,1074691,1239976,64444664,31586071,7448823,39034894,9677450,12305433,61017777,5991783,7462105,184297,64696,19652,321210,17516238,4729847,26070572,58646,64452,8417315,789475,3809952,3958875,07/92,06/93,AZ,04,94,06, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,, 1, 1, 1, 1, 1, 2, 2, 0
31509515,159,896,63,2883.28,3137.6,6979.89,10117.49,530264798,22828236,5971834,43329419,602394287,298612282,74178088,372790370,62635128,114874766,550300264,37632980,59297535,1929745,723709,156640,2023579,118508351,44567021,158929980,493448,501685,55136545,3546781,31509515,31509515,07/92,06/93,CA,06,94,08, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0,, 1, 1, 1, 1, 1, 1, 1, 0
3636410,114,118,16,350.7,585.88,1135.07,1720.95,75093112,1274868,809038,5237967,82414985,39847093,8892317,48739410,11211799,15768972,75720181,28326214,9327340,148856,86132,21723,497187,14443190,4239068,27767245,118047,119787,10023339,693722,3565957,3565957,01/93,12/93,CO,08,94,07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1,, 1, 1, 0, 1, 1, 0, 1, 0
3993517,194,50,11,579.12,749.69,1283.11,2032.8,79722317,1418037,469378,10818917,92428649,56256900,6372358,62629258,12415273,15453232,90497763,1192424,13614268,398389,165459,31663,488162,19661389,3483522,25952651,139829,148747,9131703,827895,3279340,3279340,07/92,06/93,CT,09,94,01, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,, 1, 1, 1, 1, 1, 1, 1, 0
606900,1,26,1,112,159,219,378,19789000,0,514000,516000,20819000,12365669,2172569,14538238,2284233,4086529,20909000,15511254,1873679,237940,7177,4125,71097,2263410,1213800,1982180,5180,212,617406,91305,606900,606900,10/92,09/93,DC,11,94,02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
666168,27,2,2,28.06,71.56,106.02,177.58,5750675,852607,159674,1078978,7841934,3929281,959724,4889005,1391830,1307231,7588066,3068796,1224783,36164,12746,4538,70576,2164944,345620,2900149,11712,11753,947256,108367,666168,666168,07/92,06/93,DE,10,94,02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 1, 1, 0
13372271,116,299,33,1086,1408.55,3424.1,4830.65,197584997,20383085,3043482,8376989,229388553,94986441,33346605,128333046,35544052,46572029,210449127,15580786,21823681,527328,292978,70250,912471,42537630,17542936,66070371,219309,148741,16436114,1834033,13372271,13608627,10/92,09/93,FL,12,94,05, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,, 1, 1, 1, 1, 1, 1, 1, 0
