POPU,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIAN,OTHPAID,TOTPEMP,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,BENEFIT,TOTEXP,TOTEXPCOL,OTHOPEXP,TOTOPEXP1,CAPITAL,BKVOL,AUDIO,VIDEO,SUBSCRIPT,DUPLI,ATTEND,REFERENCE,TOTCIR,LOANTO,LOANFM,KIDCIRCL,KIDATTEND,ELMATEXP,ELACCEXP,ELMATS,PERIOD_POP,PERIOD_EST,PERIOD_PSM,PERIOD_PEM,STABR,PUB_FIPS,YR,OBEREG,IMP1,IMP2,IMP3,IMP4,IMP5,IMP6,IMP7,IMP8,IMP9,IMP10,IMP11,IMP12,IMP13,IMP14,IMP15,IMP16,IMP17,IMP18,IMP19,IMP20,IMP21,IMP22,IMP23,FILLER,IMP25,IMP26,IMP27,IMP28,IMP29,IMP30,IMP31
615900,84,18,2,62.64,102.37,187.77,290.14,16853166,1074671,413645,738366,19079848,9054363,3248950,12303313,2158501,4087193,18549007,181008,1925577,64913,44068,6893,136065,2823238,480628,3596368,25268,34314,1315470,107457,147299,318715,724,615900,615900,07/94,06/95,AK,02,96,08, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1,, 1, 1, 1, 1, 1, 1, 1
4060300,198,75,19,195.43,584.19,744.01,1328.2,39850736,4320809,843106,4586250,49600901,24794695,5309478,30104173,8048563,9881461,48034197,5875553,8132754,173138,106766,15970,558836,12639660,1984031,15024212,26249,42703,4887203,343595,337014,902753,2555,3898913,4137511,10/94,09/95,AL,01,96,05, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,, 1, 1, 1, 1, 1, 1, 1
2264510,36,160,9,82.5,172.38,479.87,652.25,19634278,3071963,428539,2193313,25328093,10989547,2206494,13196041,3884474,5156776,22237291,3407987,4883191,59866,33508,8913,344030,5823922,917476,9029413,28785,45604,2738613,275359,183134,721861,2344,2264510,2268207,01/95,12/95,AR,05,96,05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0,, 1, 1, 0, 1, 1, 0, 0
4125644,88,71,13,341.7,439.9,1034.2,1474.1,75185361,452726,1185217,1596275,78419579,36386505,7527494,43913999,10756081,18227741,72897821,10953764,7945800,141058,73512,21287,321423,18135332,4739040,25494458,67390,61216,8524930,532104,-1,-1,-1,4021832,4021832,07/94,06/95,AZ,04,96,06, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,, 1, 1, 1, 1, 1, 1, 1
32312845,162,868,58,2808.6,3017.11,6851.06,9882.75,534584321,25116824,9938698,41209294,610849137,295340551,70845515,366186066,71141719,119774002,557101787,65609470,59846749,1997773,922631,142073,1884956,108991999,35357664,146740340,569159,509582,52724975,3731720,-1,-1,-1,32312829,32323595,07/94,06/95,CA,06,96,08, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1,, 1, 1, 1, 1, 1, 1, 1
3825894,114,121,17,386,592.91,1308.05,1900.94,88879420,1398250,894383,7021679,98193732,45738049,10242817,55980866,13315992,20621037,89917895,10390120,9470936,233473,140550,21378,487476,16800281,5058268,31223262,122316,128291,10865789,840056,809360,3754872,6219,3746235,3746235,01/95,12/95,CO,08,96,07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1,, 1, 1, 1, 0, 0, 1, 1
4017195,195,49,8,627.72,780.58,1375.88,2156.46,89767539,1631110,380513,11530681,103309843,62761058,6858299,69619357,13793008,17549020,100961385,7304717,14201916,432038,224932,34492,500107,19916250,3823609,27148958,162493,180090,10059427,873776,1,-1,-1,3275251,3275251,7 /94,6 /95,CT,09,96,01, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,, 1, 1, 1, 1, 1, 1, 1
606900,1,26,1,124,139,258,397,19782000,0,457000,830000,21069000,13298000,2266000,15564000,2270000,3211000,21045000,421000,2662341,319487,8870,4260,70364,2064381,1331226,1803599,3565,194,551425,135949,150000,14000,44,606900,606900,10/94,09/95,DC,11,96,02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
666168,28,2,2,32.27,74.32,127.67,201.99,8231405,1130382,277094,1176874,10815755,4778977,1294819,6073796,1639516,1692039,9405351,1475037,1319821,39324,18138,3804,69661,2261450,364978,2957030,16047,17317,1020512,114802,-1,473510,-1,666168,666168,07/94,06/95,DE,10,96,02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 1, 0
13957965,115,313,29,1210.17,1558.86,3526.21,5085.07,222795855,25251334,2661636,9235427,259944252,107188383,35597143,142785526,39108815,56662857,238557198,20450109,23673461,727625,520396,71900,959359,44751275,27821082,71380475,140348,156720,15790315,1983343,0,-1,-1,13395433,14149317,10/94,09/95,FL,12,96,05, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,, 1, 1, 1, 1, 1, 1, 1
