POPU,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIAN,OTHPAID,TOTPEMP,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,BENEFIT,TOTEXP,TOTEXPCOL,OTHOPEXP,TOTOPEXP1,CAPITAL,BKVOL,AUDIO,VIDEO,SUBSCRIPT,DUPLI,ATTEND,REFERENCE,TOTCIR,LOANTO,LOANFM,KIDCIRCL,KIDATTEND,ELMATEXP,ELACCEXP,ELMATS,PERIOD_POP,PERIOD_EST,PERIOD_PSM,PERIOD_PEM,STABR,PUB_FIPS,YR,OBEREG,IMP0,IMP1,IMP2,IMP3,IMP4,IMP5,IMP6,IMP7,IMP8,IMP9,IMP10,IMP11,IMP12,IMP13,IMP14,IMP15,IMP16,IMP17,IMP18,IMP19,IMP20,IMP21,IMP22,IMP23,IMP24,IMP25,IMP26,IMP27,IMP28,IMP29,IMP30,IMP31,IMP32
607800,85,18,2,67.37,103.87,186.81,290.68,18078406,901846,436016,949908,20366176,9365733,3235345,12601078,2518516,4777451,19897045,59801,2024387,69385,51072,7414,134623,2892777,423797,3795776,21789,36286,1364298,129943,226367,405311,850,607800,607800,07/95,06/96,AK,02,97,08, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0
4031713,195,74,18,202.08,594.72,755.38,1350.1,41907325,4206803,700835,5099889,51914852,26745315,5047184,31792499,8136593,9902331,49831423,5691709,8359153,165810,116624,17184,548599,12656761,1962270,15089812,27385,40061,5022278,443358,351916,748028,3026,3898913,4137511,10/95,09/96,AL,01,97,05, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0
2274511,38,164,8,90.66,182.79,483.04,665.83,21764068,3346875,410543,2299686,27821172,11943137,2473698,14416835,4560786,6052875,25030496,3642817,4924666,64477,40950,9598,362824,5555611,971517,9436312,19385,25582,2824081,249155,224378,751417,2779,2264510,2264510,01/96,12/96,AR,05,97,05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0
4268105,87,77,14,344.55,460.35,1079.73,1540.08,73875941,461253,491732,2729413,77558339,39366059,7864584,47230643,11705052,18962379,77898074,4498168,8095610,194446,121001,18729,352837,18728595,4396117,26744590,71701,74409,9363239,556675,-1,-1,-1,4107569,4107569,07/95,06/96,AZ,04,97,06, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0
32100110,161,881,57,2869.72,3086.37,6922.17,10008.54,541231285,20760670,6650553,50721732,619364240,312004334,76987827,388992161,69032825,119201932,577226918,32484005,59913157,2094026,1113246,142917,1934323,117448625,35228389,152016613,703698,541692,55648174,4099886,2379420,4332946,24347,32100110,32323595,07/95,06/96,CA,06,97,08, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0
3876834,103,132,16,394.75,596.54,1376.76,1973.3,99385858,1580504,934099,6832030,108732491,50820462,11471546,62292008,15554213,29216983,107063204,12718400,9833026,240146,146382,18533,498456,18196207,5495217,31930009,135246,131373,10838752,685698,765905,2721551,5019,3822676,3822676,01/96,12/96,CO,08,97,07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0
4018727,195,50,8,670.97,833.36,1383.05,2216.41,94677221,1885829,266473,10979207,107808730,65617524,6988825,72606349,14558868,18050072,105215289,12027870,14264691,405594,260743,34746,544588,19648787,3999239,27129033,183778,190002,9800634,776477,866901,3936579,4981,3274662,3274662,07/95,06/96,CT,09,97,01, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0
543000,1,26,1,124,158,227,385,20754000,0,446000,457000,21657000,12697903,2105000,14802903,2291250,2760060,19854213,0,2812565,326624,8212,4339,55848,1979826,1289456,1526448,4889,258,479967,67422,266000,10000,44,543000,543000,10/95,09/96,DC,11,97,02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
666168,28,2,2,36.15,74.98,131.97,206.95,8657589,1198942,166260,1219191,11241982,5308809,1449248,6758057,1688415,1886084,10332556,2106708,1412313,42285,21038,3492,72830,2267438,394410,3139494,19027,19036,1091793,114872,92843,269516,190,666168,666168,07/95,06/96,DE,10,97,02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
14216565,125,316,30,1295.82,1603.53,3505.55,5109.08,231150862,26215378,2213234,9940128,269519602,113142985,37248761,150391746,41924233,59990094,252306073,22881472,24329218,897420,571483,70307,998240,47376597,30216852,75509400,170469,154133,18006147,2071193,2602028,3732754,10912,13995295,14411563,10/95,09/96,FL,12,97,05, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0
