STABR,FSCSKEY,FSCS_SEQ,LIBID,LIBNAME,ADDRESS,CITY,CNTY,ZIP,ZIP4,PHONE,C_OUT_TY,C_MSA,SQ_FEET,L_NUM_BM,PUB_FIPS,CNTYFIPS,YR_SUB,IMP1,IMP2
AK,AK0001,002,AK0001-002,ANCHOR POINT PUBLIC LIBRARY,73405 MILO FITZ AVENUE,ANCHOR POINT,KENAI PENINSULA,99556,0129,9072355692,CE,NO,1287,0,02,122,2003,0,0
AK,AK0002,007,AK0002-007,CHUGIAK/EAGLE RIVER BRANCH LIBRARY,12400 OLD GLENN HIGHWAY,EAGLE RIVER,ANCHORAGE,99577,7726,9076945284,BR,CC,12000,0,02,020,2003,0,0
AK,AK0002,008,AK0002-008,MULDOON BRANCH LIBRARY,5530 EAST NORTHERN LIGHTS BOULEVARD,ANCHORAGE,ANCHORAGE,99504,3500,9073384590,BR,CC,8000,0,02,020,2003,0,0
AK,AK0002,009,AK0002-009,SAMSON-DIMOND BRANCH LIBRARY,"800 EAST DIMOND BOULEVARD, SUITE 23",ANCHORAGE,ANCHORAGE,99515,2042,9073434051,BR,CC,10200,0,02,020,2003,0,0
AK,AK0002,010,AK0002-010,SCOTT AND WESLEY GERRISH BRANCH LIBRARY,169 HIGHTOWER STREET,GIRDWOOD,ANCHORAGE,99587,0169,9077832106,BR,CC,1648,0,02,020,2003,0,0
AK,AK0002,011,AK0002-011,Z. J. LOUSSAC LIBRARY,3600 DENALI STREET,ANCHORAGE,ANCHORAGE,99503,6093,9073432983,CE,CC,140000,0,02,020,2003,0,0
AK,AK0002,012,AK0002-012,MOUNTAIN VIEW BRANCH LIBRARY,150 SOUTH BRAGAW STREET,ANCHORAGE,ANCHORAGE,99508,3145,9072728467,BR,CC,10000,0,02,020,2003,0,0
AK,AK0003,002,AK0003-002,ANDERSON VILLAGE LIBRARY,FIRST STREET,ANDERSON,DENALI,99744,3078,9075822628,CE,NO,3041,0,02,068,2003,0,0
AK,AK0006,002,AK0006-002,KUSKOKWIM CONSORTIUM LIBRARY,420 STATE HIGHWAY,BETHEL,BETHEL,99559,1068,9075434516,CE,NO,3656,0,02,050,2003,0,0
AK,AK0007,002,AK0007-002,BIG LAKE LIBRARY,3140 SOUTH BIG LAKE ROAD,BIG LAKE,MATANUSKA-SUSITNA,99652,0829,9078926475,CE,NO,6940,0,02,170,2003,0,0
AK,AK0008,002,AK0008-002,CANTWELL COMMUNITY LIBRARY,MILE 133.5 DENALI HIGHWAY,CANTWELL,DENALI,99729,0068,9077682372,CE,NO,1850,0,02,068,2003,0,0
AK,AK0011,002,AK0011-002,CHINIAK PUBLIC LIBRARY,42650 CHINIAK HIGHWAY,CHINIAK,KODIAK ISLAND,99615,5610,9074863022,CE,NO,1475,0,02,150,2003,0,0
