STABR,FSCSKEY,FSCS_SEQ,LIBID,LIBNAME,ADDRESS,CITY,ZIP,ZIP4,CNTY,PHONE,C_OUT_TY,C_MSA,SQ_FEET,F_SQ_FT,L_NUM_BM,F_BKMOB,PUB_FIPS,CNTYFIPS,YR_SUB,STATSTRU,STATNAME,STATADDR
AK,AK0001,002,AK0001-002,ANCHOR POINT PUBLIC LIBRARY,73405 MILO FRITZ AVENUE,ANCHOR POINT,99556,0129,KENAI PENINSULA,9072355692,CE,NO,1287, 0,0, 0,02,122,2006,00,00,00
AK,AK0002,007,AK0002-007,CHUGIAK/EAGLE RIVER BRANCH LIBRARY,12400 OLD GLENN HIGHWAY,EAGLE RIVER,99577,7596,ANCHORAGE,9076943323,BR,CC,12000, 0,0, 0,02,020,2006,00,00,00
AK,AK0002,008,AK0002-008,MULDOON BRANCH LIBRARY,5530 EAST NORTHERN LIGHTS BOULEVARD,ANCHORAGE,99504,3135,ANCHORAGE,9073434032,BR,CC,8000, 0,0, 0,02,020,2006,00,00,00
AK,AK0002,009,AK0002-009,SAMSON-DIMOND BRANCH LIBRARY,"800 EAST DIMOND BOULEVARD, SUITE 23",ANCHORAGE,99515,2061,ANCHORAGE,9073434052,BR,CC,10200, 0,0, 0,02,020,2006,00,00,00
AK,AK0002,010,AK0002-010,SCOTT AND WESLEY GERRISH BRANCH LIBRARY,169 HIGHTOWER ROAD,GIRDWOOD,99587,0169,ANCHORAGE,9073434024,BR,CC,1648, 0,0, 0,02,020,2006,00,00,00
AK,AK0002,011,AK0002-011,Z. J. LOUSSAC LIBRARY,3600 DENALI STREET,ANCHORAGE,99503,6055,ANCHORAGE,9073432983,CE,CC,140000, 0,0, 0,02,020,2006,00,00,00
AK,AK0002,012,AK0002-012,MOUNTAIN VIEW BRANCH LIBRARY,150 SOUTH BRAGAW STREET,ANCHORAGE,99508,1307,ANCHORAGE,9072724867,BR,CC,10000, 0,0, 0,02,020,2006,00,00,00
AK,AK0003,002,AK0003-002,ANDERSON VILLAGE LIBRARY,FIRST STREET,ANDERSON,99744,3078,DENALI,9075822628,CE,NO,3041, 0,0, 0,02,068,2006,00,00,00
AK,AK0006,002,AK0006-002,KUSKOKWIM CONSORTIUM LIBRARY,420 STATE HIGHWAY,BETHEL,99559,0368,BETHEL,9075434516,CE,NO,3656, 0,0, 0,02,050,2006,00,00,00
AK,AK0007,002,AK0007-002,BIG LAKE PUBLIC LIBRARY,3140 SOUTH BIG LAKE ROAD,BIG LAKE,99652,0829,MATANUSKA-SUSITNA,9078926475,CE,NO,6940, 0,0, 0,02,170,2006,00,00,00
AK,AK0008,002,AK0008-002,CANTWELL COMMUNITY LIBRARY,1 SCHOOL ROAD,CANTWELL,99729,0068,DENALI,9077682372,CE,NO,1850, 0,0, 0,02,068,2006,00,00,00
AK,AK0011,002,AK0011-002,CHINIAK PUBLIC LIBRARY,42650 KING CRAB WAY,CHINIAK,99615,5610,KODIAK ISLAND,9074863022,CE,NO,1000, 0,0, 0,02,150,2006,00,00,15
AK,AK0014,002,AK0014-002,COLD BAY PUBLIC LIBRARY,CITY BUILDING,COLD BAY,99571,0087,ALEUTIANS EAST,9075322878,CE,NO,1100, 0,0, 0,02,013,2006,00,00,00
AK,AK0015,002,AK0015-002,COOPER LANDING COMMUNITY LIBRARY,1.2 MILE BEAN CREEK ROAD,COOPER LANDING,99572,0517,KENAI PENINSULA,9075951241,CE,NO,1320, 0,0, 0,02,122,2006,00,00,15
