K_DECTOP,LIB_CODE,LIB_NAME,LIB_ADDR,LIB_CITY,LIB_ZIP,LIB_ZIP4,LIB_PHONE,LIB_CNTY,C_OUT_TYP,C_MSA,C_SER_POP,LIB_NUM_BM,K_SEQ,STABR,PUB_FIPS,YR
FL0001,FL0001-002,OCALA PUBLIC LIBRARY,15 SOUTHEAST OSCEOLA AVENUE,OCALA,32671,2196,9046298551,MARION,CE,CC,F,-1,002,FL,12,93
FL0001,FL0001-003,WILLISTON PUBLIC LIBRARY,P.O. BOX 373,WILLISTON,32696,0373,9045282313,LEVY,BR,NO,U,-1,003,FL,12,93
FL0001,FL0001-004,A.F. KNOTTS PUBLIC LIBRARY,P.O. BOX 489,YANKEETOWN,32698,0489,9044474212,LEVY,BR,NO,U,-1,004,FL,12,93
FL0001,FL0001-005,BELLEVIEW LIBRARY,P.O. BOX 310,BELLEVIEW,32620,0310,9042455552,MARION,BR,NC,U,-1,005,FL,12,93
FL0001,FL0001-006,BRONSON LIBRARY,TOWN HALL,BRONSON,32621,  -1,9044862354,LEVY,BR,NO,U,-1,006,FL,12,93
FL0001,FL0001-007,CEDAR KEY LIBRARY,BOX 550,CEDAR KEY,32625,0550,9045435132,LEVY,BR,NO,U,-1,007,FL,12,93
FL0001,FL0001-008,DUNNELLON LIBRARY,P.O. BOX 758,DUNNELLON,32630,0758,9044894196,MARION,BR,NC,U,-1,008,FL,12,93
FL0001,FL0001-009,FOREST BRANCH,"C/O MID-STATE FEDERAL RT.2, BOX 504",SILVER SPRINGS,32688,9602,9046298551,MARION,BR,NC,U,-1,009,FL,12,93
FL0001,FL0001-010,HERMAN B. OBERMAN LIBRARY,4040 DEEPWATER COURT,DUNNELLON,32630,3813,9044894716,MARION,BR,NC,U,-1,010,FL,12,93
FL0001,FL0001-011,LUTHER CALLAWAY LIBRARY,BOX 1940,CHIEFLAND,32626,1940,9044932758,LEVY,BR,NO,U,-1,011,FL,12,93
FL0001,FL0001-012,REDDICK LIBRARY,P.O. BOX 699,REDDICK,32686,0699,9045912698,MARION,BR,NC,U,-1,012,FL,12,93
FL0002,FL0002-003,PUNTA GORDA PUBLIC LIBRARY,424 WEST HENRY STREET,PUNTA GORDA,33950,6122,9046392049,CHARLOTTE,BR,NO,U,-1,003,FL,12,93
FL0002,FL0002-005,ENGLEWOOD CHARLOTTE PUBLIC LIBRARY,3450 MCCALL ROAD,ENGLEWOOD,34224,8651,8134741881,CHARLOTTE,BR,NO,U,-1,005,FL,12,93
